Year	Year	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1981	1981	Disch, Thomas	https://en.wikipedia.org//wiki/Thomas_Disch	Nominated	"The Brave Little Toaster"	https://en.wikipedia.org//wiki/The_Brave_Little_Toaster	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1981	1981	Ellison, Harlan	https://en.wikipedia.org//wiki/Harlan_Ellison	Nominated	"All the Lies that Are My Life"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1982	1982	Anderson, Poul	https://en.wikipedia.org//wiki/Poul_Anderson	Won	"The Saturn Game"	https://en.wikipedia.org//wiki/The_Saturn_Game	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1982	1982	Eisenstein, Phyllis	https://en.wikipedia.org//wiki/Phyllis_Eisenstein	Nominated	"In the Western Tradition"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1982	1982	Varley, John	https://en.wikipedia.org//wiki/John_Varley_(author)	Nominated	"Blue Champagne"	https://en.wikipedia.org//wiki/Eight_Worlds	New Voices #4 (Berkley Books)	https://en.wikipedia.org//wiki/Berkley_Books
1982	1982	Wilhelm, Kate	https://en.wikipedia.org//wiki/Kate_Wilhelm	Nominated	"With Thimbles, With Forks and Hope"		Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1982	1982	Vinge, Vernor	https://en.wikipedia.org//wiki/Vernor_Vinge	Nominated	"True Names"	https://en.wikipedia.org//wiki/True_Names	Binary Star #5 (Dell Publishing)	https://en.wikipedia.org//wiki/Dell_Publishing
1982	1982	Palmer, David R.	https://en.wikipedia.org//wiki/David_R._Palmer	Nominated	"Emergence"	https://en.wikipedia.org//wiki/Emergence_(novel)	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1983	1983	Russ, Joanna	https://en.wikipedia.org//wiki/Joanna_Russ	Won	"Souls"	https://en.wikipedia.org//wiki/Souls_(story)	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1983	1983	Brin, David	https://en.wikipedia.org//wiki/David_Brin	Nominated	"The Postman"	https://en.wikipedia.org//wiki/The_Postman	Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
