Year	Year awarded	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1984	1984	Butler, Octavia E.	https://en.wikipedia.org/wiki/Octavia_E._Butler	Won	"Speech Sounds"	https://en.wikipedia.org/wiki/Speech_Sounds	Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1984	1984	Pohl, Frederik	https://en.wikipedia.org/wiki/Frederik_Pohl	Nominated	"Servant of the People"		Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1984	1984	Schenck, Hilbert	https://en.wikipedia.org/wiki/Hilbert_Schenck	Nominated	"The Geometry of Narrative"		Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1984	1984	Dozois, Gardner	https://en.wikipedia.org/wiki/Gardner_Dozois	Nominated	"The Peacemaker"		Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1984	1984	Wu, William F.	https://en.wikipedia.org/wiki/William_F._Wu	Nominated	"Wong's Lost and Found Emporium"	https://en.wikipedia.org/wiki/Wong%27s_Lost_and_Found_Emporium	Amazing Stories	https://en.wikipedia.org/wiki/Amazing_Stories
1985	1985	Brin, David	https://en.wikipedia.org/wiki/David_Brin	Won	"The Crystal Spheres"	https://en.wikipedia.org/wiki/The_Crystal_Spheres	Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1985	1985	Effinger, George Alec	https://en.wikipedia.org/wiki/George_Alec_Effinger	Nominated	"The Aliens Who Knew, I Mean, Everything"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1985	1985	Killough, Lee	https://en.wikipedia.org/wiki/Lee_Killough_(author)	Nominated	"Symphony for a Lost Traveler"		Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1985	1985	Shepard, Lucius	https://en.wikipedia.org/wiki/Lucius_Shepard	Nominated	"Salvador"	https://en.wikipedia.org/wiki/Salvador_(story)	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1985	1985	Robinson, Kim Stanley	https://en.wikipedia.org/wiki/Kim_Stanley_Robinson	Nominated	"Ridge Running"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
