

Year	Year	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1980	1980	Varley, John	https://en.wikipedia.org//wiki/John_Varley_(author)	Nominated	"Options"	https://en.wikipedia.org//wiki/Eight_Worlds	Universe #9	https://en.wikipedia.org//wiki/Bantam_Spectra
1980	1980	Priest, Christopher	https://en.wikipedia.org//wiki/Christopher_Priest_(novelist)	Nominated	"Palely Loitering"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1981	1981	Dickson, Gordon R.	https://en.wikipedia.org//wiki/Gordon_R._Dickson	Won	"The Cloak and the Staff"	https://en.wikipedia.org//wiki/The_Cloak_and_the_Staff	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1981	1981	Longyear, Barry B.	https://en.wikipedia.org//wiki/Barry_B._Longyear	Nominated	"Savage Planet"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1981	1981	Varley, John	https://en.wikipedia.org//wiki/John_Varley_(author)	Nominated	"Beatnik Bayou"	https://en.wikipedia.org//wiki/Eight_Worlds	New Voices #3: The Campbell Award Nominees (Berkley Books)	https://en.wikipedia.org//wiki/Berkley_Books
1981	1981	Roberts, Keith	https://en.wikipedia.org//wiki/Keith_Roberts	Nominated	"The Lordly Ones"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1981	1981	Shea, Michael	https://en.wikipedia.org//wiki/Michael_Shea_(author)	Nominated	"The Autopsy"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1981	1981	Waldrop, Howard	https://en.wikipedia.org//wiki/Howard_Waldrop	Nominated	"The Ugly Chickens"		Universe #10	https://en.wikipedia.org//wiki/Bantam_Spectra
1982	1982	Zelazny, Roger	https://en.wikipedia.org//wiki/Roger_Zelazny	Won	"Unicorn Variation"	https://en.wikipedia.org//wiki/Unicorn_Variations	Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1982	1982	Martin, George R. R.	https://en.wikipedia.org//wiki/George_R._R._Martin	Nominated	"Guardians"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1982	1982	Bryant, Edward	https://en.wikipedia.org//wiki/Edward_Bryant	Nominated	"The Thermals of August"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1982	1982	Godwin, Parke	https://en.wikipedia.org//wiki/Parke_Godwin	Nominated	"The Fire When It Comes"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1982	1982	Bishop, Michael	https://en.wikipedia.org//wiki/Michael_Bishop_(author)	Nominated	"The Quickening"		Universe #11	https://en.wikipedia.org//wiki/Bantam_Spectra
1983	1983	Willis, Connie	https://en.wikipedia.org//wiki/Connie_Willis	Won	"Fire Watch"	https://en.wikipedia.org//wiki/Fire_Watch_(story)	Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1983	1983	Eisenstein, Phyllis	https://en.wikipedia.org//wiki/Phyllis_Eisenstein	Nominated	"Nightlife"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1983	1983	Zahn, Timothy	https://en.wikipedia.org//wiki/Timothy_Zahn	Nominated	"Pawn's Gambit"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1983	1983	Somtow, S. P.	https://en.wikipedia.org//wiki/S._P._Somtow	Nominated	"Aquila"		Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1983	1983	Sterling, Bruce	https://en.wikipedia.org//wiki/Bruce_Sterling	Nominated	"Swarm"	https://en.wikipedia.org//wiki/Swarm_(novelette)	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1984	1984	Bear, Greg	https://en.wikipedia.org//wiki/Greg_Bear	Won	"Blood Music"	https://en.wikipedia.org//wiki/Blood_Music_(novel)	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1984	1984	Martin, George R. R.	https://en.wikipedia.org//wiki/George_R._R._Martin	Nominated	"The Monkey Treatment"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1984	1984	Willis, Connie	https://en.wikipedia.org//wiki/Connie_Willis	Nominated	"The Sidon in the Mirror"		Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1984	1984	Watson, Ian	https://en.wikipedia.org//wiki/Ian_Watson_(author)	Nominated	"Slow Birds"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1984	1984	Robinson, Kim Stanley	https://en.wikipedia.org//wiki/Kim_Stanley_Robinson	Nominated	"Black Air"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1985	1985	Butler, Octavia E.	https://en.wikipedia.org//wiki/Octavia_E._Butler	Won	"Bloodchild"	https://en.wikipedia.org//wiki/Bloodchild_and_Other_Stories	Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1985	1985	Shepard, Lucius	https://en.wikipedia.org//wiki/Lucius_Shepard	Nominated	"The Man Who Painted the Dragon Griaule"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
