Year awarded	Year	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1981	1981	Waldrop, Howard	https://en.wikipedia.org//wiki/Howard_Waldrop	Won	The Ugly Chickens	https://en.wikipedia.org//w/index.php?title=The_Ugly_Chickens_(story)&action=edit&redlink=1	Universe 10	https://en.wikipedia.org//wiki/Doubleday_(publisher)
1981	1981	Bryant, Edward	https://en.wikipedia.org//wiki/Edward_Bryant	Nominated	"Strata"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1981	1981	King, Stephen	https://en.wikipedia.org//wiki/Stephen_King	Nominated	The Way Station	https://en.wikipedia.org//wiki/The_Way_Station	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1981	1981	Swanwick, Michael	https://en.wikipedia.org//wiki/Michael_Swanwick	Nominated	The Feast of Saint Janis		New Dimensions 11	https://en.wikipedia.org//wiki/Pocket_Books
1981	1981	Swanwick, Michael	https://en.wikipedia.org//wiki/Michael_Swanwick	Nominated	"Ginungagap"		TriQuarterly	https://en.wikipedia.org//wiki/TriQuarterly
1981	1981	Varley, John	https://en.wikipedia.org//wiki/John_Varley_(author)	Nominated	"Beatnik Bayou"		New Voices 3 (Berkley Books)	https://en.wikipedia.org//wiki/Berkley_Books
1982	1982	Bishop, Michael	https://en.wikipedia.org//wiki/Michael_Bishop_(author)	Won	The Quickening	https://en.wikipedia.org//w/index.php?title=The_Quickening_(story)&action=edit&redlink=1	Universe 11	https://en.wikipedia.org//wiki/Doubleday_(publisher)
1982	1982	Broxon, Mildred Downey		Nominated	"Sea Changeling"		Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1982	1982	Bryant, Edward	https://en.wikipedia.org//wiki/Edward_Bryant	Nominated	The Thermals of August		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1982	1982	Godwin, Parke	https://en.wikipedia.org//wiki/Parke_Godwin	Nominated	The Fire When It Comes		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1982	1982	Swanwick, Michael	https://en.wikipedia.org//wiki/Michael_Swanwick	Nominated	"Mummer Kiss"		Universe 11	https://en.wikipedia.org//wiki/Doubleday_(publisher)
1982	1982	Tiptree, Jr., James	https://en.wikipedia.org//wiki/James_Tiptree,_Jr.	Nominated	"Lirios: A Tale of the Quintana Roo"		Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1983	1983	Willis, Connie	https://en.wikipedia.org//wiki/Connie_Willis	Won	"Fire Watch"	https://en.wikipedia.org//wiki/Fire_Watch_(short_story)	Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1983	1983	Ballard, J. G.	https://en.wikipedia.org//wiki/J._G._Ballard	Nominated	"Myths of the Near Future"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1983	1983	Disch, Thomas M.	https://en.wikipedia.org//wiki/Thomas_M._Disch	Nominated	"Understanding Human Behavior"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
